district 
basti district
bastar district
barwani district
barpeta district
barnala district
barmer district
bargarh district
bareilly district
baran district
baramulla district
bara banki district
banswara district
bankura district
banka district
bandipore district
banda district
banas kantha district
balrampur district
baloda bazar district
balod district
ballia district
ballari district
baleshwar district
balangir district
balaghat district
baksa district
bahraich district
baghpat district
bageshwar district
bagalkote district
azamgarh district
ayodhya district
aurangabad district
auraiya district
ashoknagar district
arwal district
ariyalur district
aravallis district
araria district
anuppur district
anugul district
anjaw district
anantnag district
anantapur district
anand district
amroha district
amritsar district
amreli district
amravati district
amethi district
ambedkar nagar district
ambala district
alwar district
almora district
alirajpur district
alipurduar district
aligarh district
alappuzha district
akola district
ajmer district
aizawl district
ahmednagar district
ahmadabad district
agra district
agar malwa district
adilabad district
